ID;Name;VK;Preisgruppe;Kartonnummer;Sample Key;note
15;A. Abg.;16,50;Preisgruppe 6;29;687;
12;A. Ferm.;29,90;Preisgruppe 10;29;681;
18;A.Bl.;16,50;Preisgruppe 6;29;691;
21;A.Sun.;49,90;Preisgruppe 13;30;461;
19;A.SY;49,90;Preisgruppe 13;30;457;
20;A.TB 19;29,90;Preisgruppe 10;30;459;
2851;Amrut Spectrum;35,90;Preisgruppe 11;1;572;
35;AnCnoc Black Hill Reserve;8,90;Preisgruppe 2;1;574;
2876;AnCnoc Rascan 11.1 PPM Limited Edition;9,90;Preisgruppe 3;1;570;
3059;Ardbeg 12 Jahre That Boutique-y Whisky Company Batch 23;22,90;Preisgruppe 8;1;573;
3445;Ardmore 11 Jahre 2010 / 2021 Winter 2021 Single Cask Seasons;14,50;Preisgruppe 5;1;568;
2845;Arran Lochranza Smugglers' Series Volume Two;18,90;Preisgruppe 7;26;718;
85;Auchentoshan Blood Oak;9,90;Preisgruppe 3;1;566;
292;Auchentoshan Virgin Oak;12,50;Preisgruppe 4;1;569;
97;Auchroisk 1996 / 2014 18 Jahre Gordon & MacPhail;12,50;Preisgruppe 4;1;564;
2878;Auchroisk 1997 / 2014 16 Jahre Deerstalker;12,50;Preisgruppe 4;1;567;
2885;Aultmore 1995 / 2009 Gordon & MacPhail Connoisseurs Choice;12,50;Preisgruppe 4;1;562;
2884;Aultmore 2006/2018 Single Cask Seasons Summer 2018;9,90;Preisgruppe 3;1;565;
2879;Balmenach 11 Jahre 2008 / 2020 Signatory Un-chillfiltered Cask 345;9,90;Preisgruppe 3;3;541;
3201;Ben Nevis 7 Jahre 2013 / 2021 Signatory Vintage The Un-Chillfiltered Collection;8,90;Preisgruppe 2;4;797;
3281;Ben Nevis Traditional Peated Highland Single Malt Scotch Whisky;9,90;Preisgruppe 3;4;796;
1812;BenRiach 10 Jahre Curiositas;8,90;Preisgruppe 2;1;563;
148;BenRiach Birnie Moss;8,90;Preisgruppe 2;1;561;
151;BenRiach Cask Strength Batch 001;12,50;Preisgruppe 4;1;559;
2853;Benrinnes 1995 / 2012 16 Jahre Signatory Vintage;14,50;Preisgruppe 5;1;560;
2854;Benrinnes 1995 / 2016 21 Jahre Signatory Vintage;14,50;Preisgruppe 5;1;558;
2883;Benrinnes 2002 / 2014 11 Jahre Hepburn's Choice;9,90;Preisgruppe 3;4;799;
2881;Benrinnes 2003 / 2013 10 Jahre Hepburn's Choice;9,90;Preisgruppe 3;4;798;
;Benromach Peat Smoke;9,90;Preisgruppe 3;5;819;
3026;Best Dram Miltonduff 11 Jahre 2009 / 2020 1st Fill Oloroso Sherry Finish;12,50;Preisgruppe 4;11;373;"merged from ""sample_registry"""
2837;Black Rock Batch 7 Peated Irish Whiskey limitiert;9,90;Preisgruppe 3;2;522;
1811;Blair Athol 1997 / 2013 Gordon & MacPhail Connoisseurs Choice;14,50;Preisgruppe 5;2;520;
2769;Blair Athol 2007 / 2020 Summer 2020 Signatory Single Cask;9,90;Preisgruppe 3;2;518;
2886;Bowmore Small Batch;8,90;Preisgruppe 2;4;801;
1085;Bowmore Vault Edition First Release;14,50;Preisgruppe 5;2;516;
2856;Braeval 1998 / 2012 13 Jahre Signatory Vintage;14,50;Preisgruppe 5;2;523;
;Breizh;8,90;Preisgruppe 2;5;821;
3127;Bruichladdich 21 Jahre Cuvee 382 La Berenice;18,90;Preisgruppe 7;20;361;"merged from ""sample_registry"""
2215;Bruichladdich Bere Barley 2010;12,50;Preisgruppe 4;16;728;
3319;Bruichladdich Black Art 9.1 29 Jahre;39,90;Preisgruppe 12;16;729;
1733;Bruichladdich Islay Barley 2011;9,90;Preisgruppe 3;15;430;"merged from ""sample_registry"""
3115;Bruichladdich New Spirit X4 Quadruple Distilled;18,90;Preisgruppe 7;10;884;
3113;Bruichladdich Octomore 01.1 131 ppm;79,90;Preisgruppe 14;17;663;double check the label
2277;Bruichladdich Octomore 10.3 Dialogos Islay Barley;18,90;Preisgruppe 7;34;923;"""114ppm"" on the label"
3114;Bruichladdich Octomore 3_152;35,90;Preisgruppe 11;16;741;
3116;Bruichladdich Port Charlotte 10 Jahre Second Edition;9,90;Preisgruppe 3;17;665;
3118;Bruichladdich Port Charlotte 2008 Islay Heavily Peated;9,90;Preisgruppe 3;16;730;
1491;Bruichladdich Port Charlotte Islay Barley 2011;9,90;Preisgruppe 3;20;369;"merged from ""sample_registry"""
2859;Bunnahabhain 12 Jahre 2007 / 2019 Signatory CS limitiert;14,50;Preisgruppe 5;2;521;
2892;Bunnahabhain 2004 / 2012 8 Jahre Gordon & MacPhail;9,90;Preisgruppe 3;4;800;"""Macphail's Collection"" on the label"
2889;Bunnahabhain 2007 / 2015 8 Jahre Hepburn's Choice;9,90;Preisgruppe 3;?;803;
?;Bunnahabhain Ceobanach;9,90;Preisgruppe 3;2;519;
2891;Bunnahabhain Staoisha 2013 / 2019 Very Cloudy;8,90;Preisgruppe 2;2;517;
1963;Bunnahabhain Toiteach;9,90;Preisgruppe 3;2;515;
2574;Bunnahabhain10 Jahre 2009 / 2020 Signatory Cask Strength by Kirsch Whisky;14,50;Preisgruppe 5;2;514;
3468;Campbeltown Loch by Springbank;12,50;Preisgruppe 4;2;507;
2894;Caol Ila 12 Jahre 2004 / 2017 Gordon & MacPhail Kirsch Exclusive;9,90;Preisgruppe 3;2;509;
73;Compass Box Asyla;8,90;Preisgruppe 2;2;511;
849;Cotswolds 2015 / 2019 Odyssey Barley;8,90;Preisgruppe 2;2;513;
2895;Craigellachie 15 Jahre 1999 / 2014 Distillers Art;12,50;Preisgruppe 4;2;512;
2896;Craigellachie 2008 / 2017 Single Cask Seasons Spring 2019;9,90;Preisgruppe 3;4;802;
2085;Craigellachie 2008 / 2019 Signatory 10 Jahre  Cask Strength by Kirsch;9,90;Preisgruppe 3;2;510;
1973;Cutty Sark;6,90;Preisgruppe 1;2;508;
2901;Dailuaine 1997 / 2013 16 Jahre Signatory Vintage;9,90;Preisgruppe 3;3;556;
3187;Dailuaine 2010 / 2020 10 Jahre MoS20030 Malts of Scotland;9,90;Preisgruppe 3;4;805;
;Dalmore Vintage 15 Jahre 2001 / 2016;18,90;Preisgruppe 7;6;587;
2764;Deanston 12 Jahre 2007/2020 Sherry Cask Signatory Vintage;14,50;Preisgruppe 5;3;554;
2763;Deanston 2006 Fino Cask Finish;14,50;Preisgruppe 5;3;552;
2897;Deanston 2008 Brandy Cask Finish;9,90;Preisgruppe 3;3;550;
3339;Deanston 2008 Oloroso Cask Matured Limited Release;14,50;Preisgruppe 5;4;804;
1777;Deerstalker 12 Jahre Single Malt;8,90;Preisgruppe 2;3;551;
2899;Dewar's 12 Jahre Double Aged;8,90;Preisgruppe 2;3;553;
1324;Dimple 15 Jahre;9,90;Preisgruppe 3;4;806;
