label2,label1,label,reviews
Floral notes,Floral,Blackcurrant_bud,"The buds of the blackcurrant shrub, Ribes nigrum, are used in perfumes and food flavorings. The fragrance of the blackcurrant bud comes from a number of terpenic compounds, including limonene,B-caryophyllene and linalol, as well as sulfur molecules, which have such aromatic potency that they can, when found in large amounts, make products smell of “cat pee”.The blackcurrant bud note unfolds in the fermentation stage under the influence of the metabolism of certain types of yeast.It is often found in white wines made from Sauvignon grapes. In the distillation of whisky, copper tends to eliminate sulfur compounds and therefore reduce the blackcurrant bud perception."
Floral notes,Floral,Geranium,"Geraniumps a herbaceous plant from Africa. There are more than 600 species of geraniums, with a variety of fragrances.The most common one is the decorative geranium cultivated in gardens. Its crumpled leaves give off a distinctive smell, Another geranium grown in window boxes ts ivy-leaved geranium, Pelargoniumpeltatum.Its flowers are not usually very tragrant, Lastly, there is rose geranium,Pelargonium graveolens: the essential oil is rich in citronellol and geraniol and is used in perfumery. The presence of geraniol in certain whiskies likely explains the impression of geranium flowers."
Floral notes,Floral,Honey,"In mythology, honey is the food of gods. In the Bible, itis the food that flows in abundance in the land that God promised the Hebrews. Honey is made by bees using nectar from flowers, or honeydew from certain trees such as fir. It gets its sweetness from several sugars - glucose, fructose, maltose and melezitose.  The aromas of honey vary depending on what plants the bees collect the pollen  or honeydew from. Certain aromatic compounds of flowers and trees leave their stamp on honey. In whisky, the perception of a honey note comes from the presence of esters formed in fermentation and from a few compounds extracted by ethyl alcohol from wood during aging in barrels."
Floral notes,Floral,Rose,"The flower of the rose-tree, one of the most widely grown shrubs in the world, is considered the queen of flowers thanks to its unrivaled variety of beautiful shapes, colors and fragrances. Among the more than 100 species of roses and some 3,000 cultivars, there are two particularly fragrant species: the Damask rose (Rosa damascena) and Provence rose or cabbage rose (Rosa centifolia). The latter's Rose de Mai extracts have established the reputation  of the region around the French city of Grasse and its many perfumers. The absolutes and concretes of both of these roses contain many fragrant molecules, including geraniol, citronellol, 2-phenylethanol (phenethyl alcohol), B-damascenone and B-ionone. Most of these compounds found in various whiskies develop essentially in the fermentation stage.  The rose note is often mentioned by tasters."
Floral notes,Herbaceous,Hay,"The shay used as fodder to feed farm animals, i.e. cattle, sheep, goats  and horses, is made of the grassy part of the plants that grow in the pasture. The typical smell of sun-dried grass comes froma fragrant molecule called coumarin. This molecule, found in abundance in the tonka bean, is widely used to flavor tobacco and sweets. The hay note is rather common in aged red wines. tn whisky, it most likely develops during the aging time in barrels, depending on the type of wine formerly held in the barrel."
Floral notes,Herbaceous,Tobacco_leaf,"Dried leaves of tobacco, Nicotiana tabacum, are used to make smoking  tobacco for cigarettes, pipes and cigars.  Prior to drying, tobacco leaves undergo several processes: fermentation, moistening, cutting, roasting, and saucing or flavoring. The aroma of tobacco highly depends on the nature of flavoring agents. The smell of tobacco is generally associated with burning tobacco leaves, or fire smoldering under dry leaves  in autumn, or the smell of stale smoke in rooms filled with the smoke of pipe smokers. This note is found in certain varieties of coffee. It is due to heterocyclic  compounds formed during the combustion  of lignin and cellulose in the tobacco leaves. In whisky, the perception of this scent is ascribable to aging in barrels."
Floral notes,Herbaceous,Green_grass,"Lawns are planted with green grass, different varieties of graminae for  the most part. When the lawn is mowed, the chopped grass undergoes an enzymatic breakdown, giving rise to an aromatic molecule, c/s-3-hexenol, which smells like greenery, green leaves or green fruit. In wine, it is generally explained by machine harvesting of the grapes and the presence of leaves and stalks along with the grapes when they are pressed. This molecule identified  in malt whiskies probably appears during the fermentation process, depending  on the type of yeast used."
Fruit notes,Fresh fruit,Pineapple,"When nicely ripe, this tropical fruit contains many aromatic molecules typical of esters, namely ethyl butanoate and isoamyl butanoate. In whisky, many ethyl, amyl and isoamyl esters have been identified, and are thought to originate in fermentation with yeast. These compounds give liqueurs their ripe pineapple  note, found in many wines made from late-harvest grapes."
Fruit notes,Fresh fruit,Cherry,"The cherry tree belongs to the Prunus family. Its many varieties give fleshy stone fruit, with different tastes depending on the species (bigarreau, burlat, morello, etc.). Cherries contain many esters and benzaldehyde with a distinctive aroma of bitter almond. Identified in whisky, this benzaldehyde, quite often associated with the taste of cherry pit, most likely comes either from fermentation or the barrel used in aging. The cherry note is also a wonderful expression of young vintage port wines."
Fruit notes,Fresh fruit,Pear,"The European pear, Pyrus communis,  is a fruit tree native to European forests  and cultivated since Antiquity. Pliny  counted 38 varieties of pears. Today we  know of nearly 1,500. They share similar  aromatic profiles, which are most likely  due to a few aromatic compounds,  esters such as hexyl acetate and hepty!  acetate. Identified in whisky, these compounds  form during the fermentation process, in  accordance with the strains of yeast  used. The pear note is often mentioned  in fruity, unpeated whiskies."
Fruit notes,Fresh fruit,Peach,"The peach tree, Prunus persica, is native to China. In ancient times, the peach enjoyed cult status. Along with the rose, the peach became a symbol of youth and beauty, evocative of elegance and sweetness. Ihe molecules engendering the peach aroma are mostly lactones, decalactone, y and 5-undecalactones, and 8-dodecalactone. They are thought to contribute the peach note to the vast majority of botrytised sweet wines, and to dry white wines made from Sauvignon, Marsanne and Chenin grape varieties.  In whisky, y-nonalactone, in association with esters, may bring peach to mind. However, the origin of this note is more likely to be found in the wine previously held in the barrels now used for aging whisky."
Fruit notes,Fresh fruit,Apple,"The many varieties of apples, Wa/us domestica, give our fruit markets an attractive palette of colors, each more appealing than the other. Every different kind of apple has its own unique aroma, and more or less acidity depending on the quantity of malic acid. Several aromatic compounds are found in apples, including ethyl hexanoate, ethyl 3-methylbutanoate, transhex-2-enal and ethanol, mentioned as highly representative of the ripe apple aroma, and cis-hexen-3-ol for the green fruit notes.  In many whiskies and wines, this note is often associated with green apple. All of these molecules develop during fermentation, depending on the strains of yeast used. The apple scent is a basic feature of most white wines, namely fine Chardonnays, Champagnes and Chenins."
Fruit notes,Citrus,Lemon,"Native to South-East Asia, Lemon citrus contains an essential oil rich in limonene. Its special scent is provided by citral, which is constituted of two terpenic aldehydes, neral and geranial. Citral contains large quantities of citric acid. ,  It is most probably the many different acids found in whisky that together conjure up the lemon note, which gives single malt whiskies a light and delicate freshness."
Fruit notes,Citrus,Mandarin,"The mandarin orange, Citrus deliciosa, is a citrus fruit with fine smooth skin, very sweet flesh, little acidity, a delicate fragrance, and lots of seeds. The clementine is a hybrid of the mandarin and sweet orange (Citrus sinensis). While the taste and flavor of these two citrus fruits are very close, the clementine has the advantage of having fewer seeds. The delicate fruity fragrance of the mandarin originates in terpenic hydrocarbons, namely «-pinene and B-pinene, and methyl N-methylanthranilate, the molecule that contributes to the special sweet smell and taste of this fruit.  In whisky, the mandarin note seems to  be associated with a fruity, sweet citrus impression."
Fruit notes,Citrus,Orange,"The sweet orange tree, Citrus sinensis, iS originally from China. The bitter or sour orange, Citrus aurantium, was introduced in the Mediterranean Basin by the Arabs via Persia, while the sweet orange was imported by the Portuguese in the 16 century. It is believed that the golden apples of the garden of the Hesperides in Greek mythology were actually oranges. Cultivated in orangeries for monarchs, orange trees are well adapted to warm temperate climes (Mediterranean countries, Florida, California) where temperatures rarely fall below freezing point. The orange is a sweet, juicy citrus fruit, rich in vitamin C.The fruity, floral fragrance of orange essence is so widely appreciated that it is used to make  many perfumes and to flavor various culinary preparations. The essential oil contains more than 90% limonene, and various aldehydes, in particular octanal, nonanal and decanal, which give off  the typical sweet orange note.  In whisky, the presence of limonene  and aldehydes elicits this very pleasant aroma of orange."
Fruit notes,Citrus,Pomelo,"Pomelos are often confused with grapeftruits. These two citrus fruits grow on different species of trees. The pomelo, Citrus maxima, is a bitter fruit with very thick skin and many seeds, also known as shaddock. The grapefruit has yellow or pink skin and grows in bunches likes grapes, hence its name. It is the fruit of a hybrid tree (Citrus paradisi) of the pomelo and sweet orange, and is consumed fresh or squeezed. Pomelo essence contains nootkatone, the molecule that gives its distinctive aroma to this citrus fruit. Two sulfur molecules, 3-mercaptohexanol and its acetate, are also mentioned as significant compounds in grapefruit aroma.  The bitter taste of certain whiskies, along with the perception of citrus fruit, likely evokes the impression of pomelo."
Fruit notes,Dried fruit,Dried_fig,"The fig is not strictly speaking a fruit, but the pulpy inflorescence of the fig tree (Ficus carica), holding hundreds of  tiny flowers, which grow into seeds after pollination during ripening. Figs are greatly appreciated and eaten in various forms: fresh, dried, cooked, in jams  and pastries. Many different varieties of figs have been cultivated around the Mediterranean since ancient times.  For sweet wine (Sauternes) and muté/fortified wine (Port, Banyuls, Maury), tasters often report a dried fig note, which may develop during barrel aging. In whisky, this perception comes from casks that contained sherry, in particular Pedro Ximenez."
Fruit notes,Dried fruit,Walnut,"The fruit of the walnut tree is enclosed in a fleshy husk, which is used to make walnut liqueurs and wines witha distinctive taste and smell. Sherry, and vin jaune from the French region of Jura, are flor aged wines, left to age in barrels and not topped up. During barrel aging, which may be years, flor yeast develops on the surface of the wine. This causes very slow oxidation of the wine, and produces a fragrant molecule called sotolon, with a strong aroma of fresh walnut. The ethyl alcohol of whisky aged in oak barrels, where sherry has been aged, extracts part of the sotolon absorbed by the wooden barrels and transfers the walnut note to the whisky."
Fruit notes,Dried fruit,Prune,"Prunes are plums, Prunus domestica, dried in ovens at 70 to 80°C for two days. They keep well thanks to their low moisture content, 20 to 22%. During drying, the sugars of the plums undergo a Maillard reaction, and the prunes take on a candied fruit aroma, stronger than that of plums. This aromatic note is often found in a number of aged red wines from sun-basked regions, as well as in liqueurs aged in barrels for a long time. The prune note perceived in whisky has to do with the barrel having  been previously used to age sherry or sometimes port, highly appreciated wines."
Woodsy notes,Ligneous,Oak,"The oak barrel aromatic note is a complex perception, a mix of woodsy, smoky  and slightly spicy. It is redolent of timber yards where staves are seasoned. It consists of many odor molecules: phenols and various heterocyclic compounds. Wood also contains sapid molecules, in particular soluble tannins called ellagitannins, which make a good barrier for oxygen. In barrel making, ellagitanins are partly broken down by the thermal treatment required to bend staves. While whisky ages in barrels, ethyl! alcohol absorbs most of these fragrant molecules, giving the whisky a distinctive woodsy note."
Woodsy notes,Vinous,Sherry,"Sherry (an anglicisation of Jerez) is a fortified wine made in Jerez de la Frontera, Andalusia, Spain. As it matures in oak barrels in contact with air, Sherry slowly oxidizes and develops its special notes, also found in vin jaune, lateharvest white wine from the Jura region in the East of France. During aging, aromatic molecules transfer, not only from the oak wood to the wine, but also conversely from the wine to the  oak wood. When whisky matures in oak barrels formerly used to hold sherry, it absorbs the aromatic molecules from the wine and takes on the pleasant sherry note."
