CAS.	Odorant	Odor	Cons.(mg/mL)	Solvent	Purity	Trialnumber
"4180-23-8"	"1-methoxy-4-[(E)-prop-1-en-1-yl]benzene(trans-anethol)"	"anise"	4.4	"mineral oil"	"≥99%"	"35, 84, 90"
"100-52-7"	"benzaldehyde"	"almond"	3.82	"1,2-propanediol"	"0.99"	"33, 135"
"7452-79-1"	"ethyl 2-methylbutyrate"	"apple"	3.99	"1,2-propanediol"	"0.99"	"5, 16, 22, 32, 36, 58, 59, 60, 61, 62, 63, 64, 67, 72, 87, 92, 94, 95, 100, 104, 105, 119, 134, 145, 151, 202, 215, 219, 222"
"6378-65-0"	"hexyl hexanoate"	"apple peel"	7.41	"1,2-propanediol"	">98%"	"18, 133, 171, 181"
"104-67-6"	"γ-undecalactone"	"apricot"	33.5	"1,2-propanediol"	"0.99"	"49, 118, 125, 162, 174, 189"
"123-35-3"	"myrcene"	"balsamic"	1.62	"mineral oil"	"≥97%"	"38, 44, 45, 60, 82, 94, 103, 106, 107, 116, 136, 137, 205, 210, 218"
"431-03-8"	"diacetyl"	"butter"	9.89	"1,2-propanediol"	"0.99"	"5, 32, 169, 194"
"513-86-0"	"acetoin"	"butter"	25.2	"water"	"≥97%"	"68, 146"
"3658-80-8"	"dimethyl trisulfide"	"cabbage"	8.05E-4	"1,2-propanediol"	"≥97%"	"65"
"96-48-0"	"γ-butyrolactone"	"caramel"	143.0	"1,2-propanediol"	"≥97%"	"79"
"103-36-6"	"ethyl cinnamate"	"cinnamon"	8.25	"1,2-propanediol"	"0.98"	"30, 82, 88, 177, 178, 187, 193"
"4630-07-3"	"valencene"	"citrus"	4.91	"mineral oil"	"≥65%"	"36, 37, 71, 77, 124, 126, 130, 195, 201, 202, 203, 209, 216"
"99-87-6"	"p-cymene"	"citrus"	3.27	"mineral oil"	"≥97%"	"2, 7, 11, 13, 14, 15, 16, 17, 18, 25, 28, 43, 46, 116, 200, 208, 209, 210, 211, 214"
"97-53-0"	"eugenol"	"clove"	0.467	"1,2-propanediol"	"0.99"	"21, 56, 80, 86, 175, 176, 185, 191, 217"
"105-21-5"	"γ-heptalactone"	"coconut"	4.3	"1,2-propanediol"	"≥98%"	"4, 8, 14, 20, 26, 28, 29, 30, 51, 52, 53, 54, 62, 85, 98, 108, 109, 110, 114, 118, 119, 120, 144, 149, 150"
"3268-49-3"	"methional"	"cooked potato"	0.068	"1,2-propanediol"	"≥97%"	"4, 156, 157, 163, 167, 182, 197"
"695-06-7"	"4-hexanolide"	"coumarin"	3.43	"1,2-propanediol"	"≥97%"	"58"
"13623-11-5"	"trimethylthiazole"	"earth"	1.01	"1,2-propanediol"	"≥98%"	"100, 128"
"106-33-2"	"ethyl laurate"	"fat"	97.9	"1,2-propanediol"	"0.99"	"19"
"111-13-7"	"2-octanone"	"fat"	1.11	"1,2-propanediol"	"≥97%"	"40, 81, 121, 197, 203, 206, 217"
"111-70-6"	"1-heptanol"	"fat"	11.8	"1,2-propanediol"	"≥99%"	"12, 41, 56, 144"
"124-13-0"	"octanal"	"fat"	2.44	"1,2-propanediol"	"0.99"	"47, 57"
"106-25-2"	"nerol oxide"	"flower"	2.66	"mineral oil"	"≥97%"	"53, 133, 170, 180"
"140-11-4"	"benzyl acetate"	"flower"	8.08	"1,2-propanediol"	"0.99"	"39, 83, 89"
"78-70-6"	"linalool"	"flower"	6.12	"1,2-propanediol"	"≥80%"	"21, 123, 163, 172, 182, 206, 214, 220"
