OQ/OSA;floral;fruit;wood;complexity;malt;sweet;peat;dried fruits;aftertase
Almond;1;0;0;0;0;0;0;0;0
Cooked;0;0;0;1;0;0;0;0;0
Cut-grass;0;0;0;0;1;0;0;0;0
Floral;1;0;0;0;0;0;0;1;0
Fresh;1;0;0;0;0;0;0;1;0
Fruity;1;1;0;0;0;1;0;1;0
Green;1;0;0;0;0;0;0;1;0
Honey;1;0;0;0;0;1;0;1;0
Lactonic;0;0;0;0;0;0;0;0;0
Leather;0;0;0;0;0;0;0;0;0
Peel;0;0;0;0;0;0;0;0;1
Smoky;0;0;0;0;0;0;1;0;0
Spicy;1;0;0;0;0;0;0;0;0
Sulfurous;0;0;0;0;0;0;0;0;0
Toasty;0;0;0;0;0;0;0;0;0
Vanilla;1;0;0;0;0;1;0;0;0
Vegetable;0;0;0;0;0;0;0;0;0
Violet;0;0;0;0;0;0;0;0;0
Wine-like;0;0;0;0;0;0;0;0;1
Woody;1;0;1;0;0;0;1;0;0
