Whisky Name;Floral;Früchte;Holz;Komplexität;Malzig;Süße;Torf;Trockenfrüchte;Abgang
Glenallachie 8 Jahre;0;7;6;7;0;7;0;7;6
Dalmore Cigar Malt;0;6;9;8;0;8;0;6;7
Bunnahabhain Staoisha 7 Jahre 2014 / 2022 Signatory Vintage;0;0;8;7;0;0;6;0;8
Bruichladdich 21 Jahre Cuvee 382 La Berenice;8;7;6;9;0;7;0;7;8
Glenallachie 12 Jahre;0;8;7;8;0;8;0;6;7
Compass Box, Glasgow Blend;0;5;5;8;0;5;0;0;7
Jack Daniel's Single Barrel Select;0;7;7;7;8;7;0;0;7
Bruichladdich Port Charlotte Islay Barley 2011;0;6;7;8;0;6;8;0;8
St. Kilian Four;0;8;6;7;0;8;6;0;6
Best Dram Miltonduff 11 Jahre 2009 / 2020 1st Fill Oloroso Sherry Finish;0;7;8;7;0;7;0;7;8
Rock Oyster Douglas Laing;0;6;8;7;0;6;8;7;8
Slyrs 12 Jahre 2005 / 2017;7;6;7;7;7;6;0;0;7
Mars II 2007 / 2020 Scotch Universe;5;7;8;8;5;7;5;5;8
MacDuff 2009 / 2021 Summer 2021 Single Cask Seasons;0;7;8;7;0;7;0;0;8
St. Kilian Six;0;6;7;8;0;6;7;0;7
Motörhead Whisky, Limited Edition!;0;0;8;7;0;7;8;0;8
Sea Shepherd Navy Strength, Islay Single Malt Whisky;0;6;7;8;0;6;9;0;7
Map of Islay, Islay Single Malt Whisky;0;7;8;7;0;7;8;0;8
Millstone 6 Jahre 2008 / 2015 Sherry Cask;0;7;8;7;0;7;0;8;8
Locke's 8 Jahre;0;6;7;8;0;6;0;0;7
Glenfarclas 12 Jahre;4;7;8;8;8;7;0;8;8
Glenfarclas 10 Jahre;4;7;8;7;7;7;0;8;7
Glen Elgin 12 Jahre;3;7;8;7;7;7;0;7;7
Edradour Ballechin 10 Jahre;2;6;8;7;7;6;8;6;7
Edradour 12 Jahre Caledonia Selection;3;6;8;8;7;6;0;6;7
Edradour 10 Jahre;2;5;8;7;7;6;8;6;7
Deanston 12 Jahre;2;6;8;7;7;6;0;7;7
GlenAllachie 2011 / 2022, Pedro Xímenez, Madeira & Port Cuvée Cask, Kirsch Exclusive;3;7;8;8;7;8;0;8;8
Finlaggan Original;1;5;8;7;7;5;9;5;7
Elements of Islay Peat;0;4;9;6;7;4;10;4;6
Dalwhinnie Distillers Edition 2006 / 2021;6;6;8;8;6;6;2;6;8
Dalwhinnie 15 Jahre;6;6;7;8;6;6;2;6;7
Cragganmore 12 Jahre;3;7;9;7;7;5;2;5;8
Tobermory 12 Jahre;3;6;8;7;6;6;4;6;7
Smokey Joe Islay Malt Scotch Whisky;0;4;9;7;7;4;10;4;7
Smokehead TotenkopfNeue Edition;0;2;8;6;6;2;10;0;6
Smokehead Extra Rare;0;2;8;7;7;2;10;0;7
Smokehead High Voltage Totenkopf;0;2;9;8;7;2;10;0;8
Talisker Port Ruighe;4;4;7;8;7;4;7;4;8
Talisker Skye;3;3;7;7;6;3;6;3;7
Old Pulteney 12 Jahre;2;5;7;6;5;4;1;6;6
Peat's Beast CS;2;2;6;7;3;3;10;3;8
Peat's Beast Peated Single Malt;3;3;5;5;3;3;10;4;7
Speyburn 10 Jahre;4;6;6;4;5;4;1;4;5
Talisker Storm;2;4;7;8;4;3;7;3;8
Wolfburn Northland;2;4;6;5;6;4;1;5;6
Wolfburn Langskip;3;5;7;6;5;4;2;6;6
Wolfburn Aurora;3;6;7;7;5;4;1;6;7
