delivery_name,sample_key,sample,name,age,cask,region,origin,type,category,cask_type,alcohol_content,distillation_date,bottling_date,bottle_volume,special_edition,additives,not_chill_filtered,cask_strength,distiller,bottler,distributor,dried_fruits,wood,peat,fruit,floral,sweet,malt,aftertaste,complexity,special
Raritäten Sample - A. Abg.,687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raritäten Sample - A. Ferm.,681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raritäten Sample - A.Bl.,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raritäten Sample - A.Sun.,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raritäten Sample - A.SY,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raritäten Sample - A.TB 19,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raritäten Sample - Amrut Spectrum,572,,Raritäten Sample - Amrut Spectrum,,Sonstige / Verschiedene / Unbekannt,Nein,Indien,Single Malt Whisky,Raritäten Samples,Sonstige / Verschiedene / Unbekannt,50 %Vol,,,"0,05 Liter",Nein,Nein,Ja,Nein,Amrut,Originalabfüllung,La Maison du Whisky 8-10 Rue Gustave Eiffel 92110 Clichy/FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raritäten Sample - AnCnoc Black Hill Reserve,574,,Raritäten Sample - AnCnoc Black Hill Reserve,,Bourbon,Speyside,Schottland,Single Malt Scotch Whisky,Raritäten Samples,Bourbon,46 %Vol,,,"0,05 Liter",Nein,Ja,Ja,Nein,KnockDhu,Originalabfüllung,Knockdhu Distillery Co. Huntly Aberdeenshire AB 54 7LJ/GB,30.0,30.0,10.0,80.0,50.0,70.0,50.0,70.0,50.0,0.0
Raritäten Sample - AnCnoc Rascan 11.1 PPM - Limited Edition,570,,Raritäten Sample - AnCnoc Rascan 11.1 PPM - Limited Edition,,Sonstige / Verschiedene / Unbekannt,Speyside,Schottland,Single Malt Scotch Whisky,"Whisky
, Raritäten Samples",Sonstige / Verschiedene / Unbekannt,46 %Vol,,,"0,05 Liter",Limited Edition,Nein,Ja,Nein,AnCnoc,Originalabfüllung,Knockdhu Distillery Co. Huntly Aberdeenshire AB 54 7LJ/GB,60.0,90.0,40.0,60.0,30.0,30.0,30.0,60.0,40.0,60.0
Raritäten Sample - Ardbeg 12 Jahre - That Boutique-y Whisky Company Batch 23,573,,Raritäten Sample - Ardbeg 12 Jahre - That Boutique-y Whisky Company Batch 23,12 Jahre,Bourbon,Islay/Jura,Schottland,Single Malt Scotch Whisky,Raritäten Samples,Bourbon,"49,2 %Vol",,,"0,05 Liter",Limited Edition,Nein,Ja,Nein,Ardbeg,Originalabfüllung,"Kirsch Import. Schnepker Str. 32, 28857 Syke",50.0,20.0,80.0,60.0,50.0,30.0,50.0,70.0,60.0,70.0
